,Ma_sp,Ten_sp,Gia,Xuat_xu,Nong_do,Dung_tich,Giong_nho,Mau_sac,Loai_ruou,Thuong_hieu,Vung_lam_vang
1171,VNNHDL-490,Rượu Vang De Luze Bordeaux,398000.0,Pháp,13.0,750.0,"Merlot,Cabernet Sauvignon",đỏ ruby,Rượu Vang Đỏ,De Luze,Bordeaux
1172,VNWH12-250,Rượu Vang Deakin Estate Artisan’s Blend,245000.0,ÚC,13.5,750.0,"Chardonnay,Pinot Grigio",vàng rơm,Rượu Vang Trắng,Deakin Estate,Victoria
1173,VNWH4-250,Rượu Vang Deakin Estate Artisan’s Blend Cabernet – Merlot,245000.0,ÚC,13.5,750.0,"Cabernet Sauvignon,Merlot",đỏ ruby,Rượu Vang Đỏ,Deakin Estate,Murray Darling
1174,VNWH1-325,Rượu Vang Deakin Estate Cabernet Sauvignon,305000.0,ÚC,13.5,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Deakin Estate,Murray Darling
1175,VNTK-1174,Rượu Vang Decoy Cabernet Sauvignon,1174000.0,Mỹ,13.0,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Decoy,Sonoma County
1176,VNTK-1027,Rượu Vang Decoy Sauvignon Blanc,1027000.0,Mỹ,13.0,750.0,Sauvignon Blanc,vàng rơm,Rượu Vang Trắng,Decoy,Sonoma County
1177,VNDL-1672,Rượu Vang DeLoach Forgotten Vines Zinfandel,1571000.0,Mỹ,15.0,750.0,Zinfandel,đỏ đậm,Rượu vang đỏ,DeLoach,Sonoma County
1178,VNDL1-735,Rượu Vang DeLoach Heritage Reserve Pinot Noir,675000.0,Mỹ,14.0,750.0,Pinot Noir,đỏ đậm,Rượu vang đỏ,DeLoach,California
1179,VNDL-735,Rượu Vang DeLoach Heritage Reserve Zinfandel,675000.0,Mỹ,13.5,750.0,Zinfandel,đỏ ruby,Rượu vang đỏ,DeLoach,California
1180,VNDL1-1672,Rượu Vang DeLoach OFS Pinot Noir,1672000.0,Mỹ,14.5,750.0,Pinot Noir,đỏ đậm,Rượu vang đỏ,DeLoach,Russian River Valley
1181,VNDL1-1214,Rượu Vang DeLoach Russian River Pinot Noir,1115000.0,Mỹ,14.0,750.0,Pinot Noir,đỏ đậm,Rượu vang đỏ,DeLoach,Russian River Valley
1182,VNDL-1214,Rượu Vang DeLoach Russian River Zinfandel,1115000.0,Mỹ,14.0,750.0,Zinfandel,đỏ đậm ánh tím,Rượu vang đỏ,DeLoach,Russian River Valley
1183,VNMH-350,Rượu Vang Delor Bordeaux Sauvignon Blanc,350000.0,Pháp,12.0,750.0,Sauvignon Blanc,vàng xanh,Rượu Vang Trắng,Borie Manoux,Bordeaux
1184,VNMH5-320,Rượu Vang Delor Héritage 1864 Bordeaux Blanc,320000.0,Pháp,12.5,750.0,"Sauvignon Blanc,Sémillion,Muscadelle",vàng tươi,Rượu Vang Trắng,Borie Manoux,Bordeaux
1185,VNMH3-660,Rượu Vang Delor Héritage 1864 Sauternes,660000.0,Pháp,13.0,750.0,"Sauvignon Blanc,Sémillon",vàng rơm,Rượu vang ngọt,Maison Delor,Bordeaux
